iter	Passed	Remaining
0	62	62411
1	63	31846
2	65	21659
3	66	16569
4	67	13493
5	69	11468
6	70	10022
7	71	8918
8	73	8070
9	74	7395
10	76	6837
11	77	6373
12	78	5976
13	80	5641
14	81	5352
15	82	5099
16	84	4872
17	85	4674
18	87	4492
19	88	4331
20	89	4191
21	91	4059
22	92	3935
23	93	3789
24	94	3686
25	95	3592
26	97	3505
27	98	3430
28	100	3356
29	101	3297
30	103	3232
31	104	3168
32	106	3109
33	107	3053
34	108	2998
35	110	2949
36	111	2902
37	111	2833
38	113	2792
39	114	2752
40	116	2716
41	117	2678
42	119	2648
43	120	2620
44	121	2588
45	123	2557
46	124	2531
47	126	2504
48	127	2480
49	129	2457
50	130	2430
51	131	2404
52	133	2381
53	134	2357
54	135	2333
55	137	2313
56	138	2293
57	139	2273
58	141	2253
59	142	2239
60	144	2221
61	145	2206
62	147	2192
63	148	2177
64	150	2163
65	152	2151
66	153	2135
67	154	2121
68	156	2113
69	157	2098
70	159	2084
71	160	2071
72	162	2057
73	163	2043
74	164	2029
75	165	2016
76	167	2004
77	168	1992
78	169	1980
79	171	1968
80	172	1959
81	174	1948
82	175	1938
83	176	1929
84	178	1919
85	179	1909
86	180	1899
87	182	1889
88	183	1879
89	184	1870
90	186	1859
91	187	1853
92	189	1843
93	190	1835
94	191	1826
95	193	1817
96	194	1810
97	195	1801
98	197	1793
99	198	1785
100	199	1778
101	201	1770
102	202	1761
103	203	1754
104	205	1747
105	206	1739
106	207	1733
107	209	1726
108	210	1718
109	211	1711
110	212	1705
111	214	1698
112	216	1697
113	217	1690
114	218	1684
115	220	1677
116	221	1671
117	222	1664
118	224	1659
119	225	1653
120	226	1647
121	228	1641
122	229	1635
123	230	1630
124	232	1624
125	233	1619
126	234	1613
127	236	1608
128	237	1603
129	238	1598
130	240	1592
131	241	1588
132	242	1582
133	244	1577
134	245	1572
135	246	1567
136	248	1562
137	249	1557
138	250	1551
139	251	1546
140	253	1541
141	254	1536
142	255	1532
143	256	1527
144	258	1522
145	259	1517
146	260	1513
147	262	1508
148	263	1504
149	264	1499
150	265	1495
151	267	1491
152	268	1487
153	270	1483
154	271	1479
155	272	1476
156	274	1472
157	275	1468
158	276	1464
159	278	1460
160	279	1457
161	280	1453
162	282	1449
163	283	1445
164	284	1441
165	286	1438
166	287	1434
167	288	1431
168	290	1427
169	291	1423
170	293	1421
171	294	1418
172	296	1415
173	297	1411
174	298	1407
175	299	1404
176	301	1400
177	302	1397
178	303	1393
179	305	1390
180	306	1387
181	307	1382
182	308	1379
183	310	1376
184	311	1372
185	312	1369
186	314	1366
187	315	1363
188	317	1361
189	318	1358
190	319	1354
191	321	1351
192	322	1348
193	323	1345
194	325	1342
195	326	1338
196	327	1335
197	328	1332
198	330	1329
199	331	1326
200	332	1323
201	334	1320
202	335	1317
203	336	1314
204	338	1311
205	339	1308
206	340	1305
207	342	1302
208	343	1299
209	344	1296
210	345	1293
211	347	1290
212	348	1287
213	349	1284
214	351	1282
215	352	1279
216	353	1276
217	355	1273
218	356	1270
219	357	1268
220	359	1265
221	360	1262
222	361	1259
223	362	1257
224	364	1254
225	365	1251
226	366	1248
227	367	1246
228	368	1241
229	370	1238
230	371	1236
231	371	1231
232	373	1228
233	374	1226
234	375	1223
235	377	1220
236	378	1218
237	379	1215
238	380	1212
239	382	1210
240	383	1207
241	384	1205
242	386	1202
243	387	1200
244	388	1197
245	390	1195
246	391	1192
247	392	1190
248	393	1187
249	395	1185
250	396	1183
251	397	1180
252	399	1178
253	400	1175
254	401	1173
255	402	1170
256	404	1168
257	405	1166
258	406	1163
259	408	1161
260	409	1159
261	410	1156
262	412	1154
263	413	1153
264	415	1151
265	417	1150
266	418	1148
267	419	1146
268	421	1144
269	422	1141
270	423	1139
271	424	1137
272	426	1134
273	427	1132
274	428	1130
275	430	1128
276	431	1126
277	432	1123
